time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;0;293239;2045;2916248;13302862;1;2721;12531;2;7;345328;0;0;19;0;0
2.01;0;294285;2040;2923413;13322640;1;3014;12935;2;8;345382;0;0;27;1;0
4.02;0;297237;2007;2918273;13315637;0;2675;13203;1;7;345173;0;0;14;0;0
6.03;0;295939;2052;2920507;13307262;4;2666;11377;2;9;344243;0;0;33;0;0
8.04;0;296578;1990;2921218;13325796;2;2510;12594;0;9;344807;0;0;21;0;0
10.06;0;296410;2045;2920571;13343264;1;2862;12350;0;7;345687;0;0;22;0;0
12.06;0;296016;2041;2921475;13352343;2;2979;11117;0;7;346457;0;0;23;0;0
14.07;0;295629;2023;2924856;13313471;3;2835;10251;2;5;345299;0;0;31;0;0
16.08;0;293499;2068;2920401;13293172;3;2700;12674;2;9;344753;0;0;26;0;0
18.08;0;293198;2015;2918889;13283994;0;2596;13550;0;2;345106;0;0;19;0;0
20.09;0;291852;2047;2920282;13297289;0;2580;10934;3;4;345470;0;0;17;1;0
22.10;0;290725;2037;2922779;13309918;0;2932;12361;0;8;345602;0;0;22;0;0
24.11;0;291374;2094;2919880;13338551;2;2975;12015;1372;10;345096;0;0;18;0;0
26.13;0;291641;2105;2919372;13340412;2;2936;12596;1405;6;345356;0;0;28;0;0
28.13;0;292034;2088;2915137;13311535;1;2563;10983;0;6;344146;0;0;24;0;0
30.14;0;293325;1990;2914210;13276376;1;2691;13054;4;5;343780;0;0;24;0;0
32.15;0;292133;2043;2914477;13268185;0;2648;11762;3;14;345529;0;0;20;1;0
34.17;0;291160;2074;2916094;13243477;1;3073;12195;1;4;344971;0;0;17;0;0
36.18;0;291740;2059;2910350;13263533;1;3078;11841;2301;452;345071;0;0;36;0;0
38.19;0;292541;2148;2916266;13273610;2;2847;12035;3;9;344623;0;0;20;0;0
40.20;0;292339;2134;2919548;13264963;3;3114;12412;3;949;345587;0;0;20;0;0
42.22;0;293595;2072;2920071;13270567;0;2759;13087;2;8;344899;0;0;23;0;0
44.23;0;292118;2113;2922140;13274938;2;2811;13664;0;7;344242;0;0;25;0;0
46.24;0;292299;2049;2921286;13314453;3;3079;13888;3;6;344660;0;0;22;0;0
48.26;0;292759;2058;2914695;13351567;0;2635;13091;1;6;346101;0;0;71;0;0
50.27;0;288831;2153;2907728;13364839;2;2824;12434;3;5;344477;0;0;26;0;0
52.28;0;288637;2077;2904681;13333026;1;3295;13483;922;6;344215;0;0;25;0;0
54.29;0;290258;2118;2904064;13309206;0;2539;12965;0;9;343703;0;0;26;0;0
56.30;0;291180;2009;2912454;13323025;3;2740;13399;2;10;344415;0;0;23;0;0
58.31;0;290768;2130;2913323;13325751;3;2899;13032;0;5;345232;0;0;52;0;0
